Threshold,Strategy,Net_Benefit,TP,FP,TN,FN,PPV,NNT,Unnecessary_Treatments_Avoided
0.09,Phenotype-Stratified (Q5),0.3637080867850099,82,112,1,0,0.422680412371134,2.3658536585365852,1
0.09,Global Predictor (Q1),0.3632009016624401,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.09,CD274 (PD-L1+),0.3632009016624401,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.09,High TMB,0.3632009016624401,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.09999999999999999,Treat None,0.0,0,0,113,82,,,113
0.09999999999999999,Treat All,0.3561253561253561,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.09999999999999999,Phenotype-Stratified (Q5),0.3566951566951567,82,112,1,0,0.422680412371134,2.3658536585365852,1
0.09999999999999999,Global Predictor (Q1),0.3561253561253561,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.09999999999999999,CD274 (PD-L1+),0.3561253561253561,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.09999999999999999,High TMB,0.3561253561253561,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.11,Treat None,0.0,0,0,113,82,,,113
0.11,Treat All,0.3488908095649669,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.11,Phenotype-Stratified (Q5),0.35015845577643334,82,111,2,0,0.42487046632124353,2.3536585365853657,2
0.11,Global Predictor (Q1),0.3488908095649669,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.11,CD274 (PD-L1+),0.3488908095649669,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.11,High TMB,0.3488908095649669,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.12,Treat None,0.0,0,0,113,82,,,113
0.12,Treat All,0.34149184149184153,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.12,Phenotype-Stratified (Q5),0.3428904428904429,82,111,2,0,0.42487046632124353,2.3536585365853657,2
0.12,Global Predictor (Q1),0.34149184149184153,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.12,CD274 (PD-L1+),0.34149184149184153,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.12,High TMB,0.34149184149184153,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.13,Treat None,0.0,0,0,113,82,,,113
0.13,Treat All,0.33392278219864424,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.13,Phenotype-Stratified (Q5),0.33775419982316535,82,108,5,0,0.43157894736842106,2.317073170731707,5
0.13,Global Predictor (Q1),0.33392278219864424,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.13,CD274 (PD-L1+),0.33392278219864424,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.13,High TMB,0.33392278219864424,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.14,Treat None,0.0,0,0,113,82,,,113
0.14,Treat All,0.3261776982707215,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.14,Phenotype-Stratified (Q5),0.3311866428145498,82,107,6,0,0.43386243386243384,2.304878048780488,6
0.14,Global Predictor (Q1),0.3261776982707215,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.14,CD274 (PD-L1+),0.3261776982707215,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.14,High TMB,0.3261776982707215,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.15000000000000002,Treat None,0.0,0,0,113,82,,,113
0.15000000000000002,Treat All,0.31825037707390647,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.15000000000000002,Phenotype-Stratified (Q5),0.3254901960784313,82,105,8,0,0.4385026737967914,2.280487804878049,8
0.15000000000000002,Global Predictor (Q1),0.31825037707390647,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.15000000000000002,CD274 (PD-L1+),0.31825037707390647,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.15000000000000002,High TMB,0.31825037707390647,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.16,Treat None,0.0,0,0,113,82,,,113
0.16,Treat All,0.31013431013431014,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.16,Phenotype-Stratified (Q5),0.3189255189255189,82,104,9,0,0.44086021505376344,2.268292682926829,9
0.16,Global Predictor (Q1),0.31013431013431014,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.16,CD274 (PD-L1+),0.31013431013431014,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.16,High TMB,0.31013431013431014,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.17,Treat None,0.0,0,0,113,82,,,113
0.17,Treat All,0.3018226753166512,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.17,Phenotype-Stratified (Q5),0.31442693852332404,82,101,12,0,0.44808743169398907,2.231707317073171,12
